Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SnakeBrain,1.443,24.760,16.313,4833,-0.931
SnakeBrain,0.556,43.059,13.885,4826,-0.925
SnakeBrain,0.509,60.828,13.413,4808,-0.922
SnakeBrain,0.694,78.914,13.622,4816,-0.920
SnakeBrain,0.505,97.179,13.757,4842,-0.921
SnakeBrain,0.496,115.414,13.906,4808,-0.921
SnakeBrain,0.512,133.099,13.364,4861,-0.920
SnakeBrain,0.544,151.526,13.984,4821,-0.918
SnakeBrain,0.524,169.688,13.710,4801,-0.916
SnakeBrain,0.576,186.989,12.957,4815,-0.912
SnakeBrain,0.550,203.904,12.773,4812,-0.909
SnakeBrain,0.522,222.002,13.711,4827,-0.906
SnakeBrain,0.512,241.304,14.538,4926,-0.904
SnakeBrain,0.509,258.483,13.001,4823,-0.903
SnakeBrain,0.647,275.525,12.876,4810,-0.901
SnakeBrain,0.499,293.695,13.721,4818,-0.896
SnakeBrain,0.494,310.959,13.118,4829,-0.892
SnakeBrain,0.548,327.647,12.483,4853,-0.887
SnakeBrain,0.670,345.253,13.192,4824,-0.883
SnakeBrain,0.668,362.581,12.950,4861,-0.877
SnakeBrain,0.532,380.713,13.040,4811,-0.874
SnakeBrain,0.512,397.588,12.759,4849,-0.869
SnakeBrain,0.507,416.580,14.311,4816,-0.866
SnakeBrain,1.116,439.464,17.074,4889,-0.863
SnakeBrain,0.581,460.606,15.992,4831,-0.859
SnakeBrain,0.592,480.001,14.626,4862,-0.855
SnakeBrain,0.577,500.470,15.589,4810,-0.852
SnakeBrain,0.531,521.204,16.331,4841,-0.849
SnakeBrain,0.727,540.008,14.087,4881,-0.845
SnakeBrain,0.544,558.292,14.004,4853,-0.840
SnakeBrain,0.523,576.338,13.757,4846,-0.838
SnakeBrain,0.583,594.246,13.540,4821,-0.834
SnakeBrain,0.506,612.320,13.750,4848,-0.831
SnakeBrain,0.510,630.301,13.665,4880,-0.829
SnakeBrain,0.516,647.675,13.115,4826,-0.826
SnakeBrain,0.542,665.559,13.545,4864,-0.823
SnakeBrain,0.631,684.324,14.238,4893,-0.820
SnakeBrain,0.517,702.516,13.796,4926,-0.817
SnakeBrain,0.531,720.437,13.671,4820,-0.815
SnakeBrain,0.649,738.727,13.840,4821,-0.813
SnakeBrain,0.592,757.059,13.450,4879,-0.810
SnakeBrain,0.751,776.949,15.033,4849,-0.807
SnakeBrain,0.760,797.034,15.174,4863,-0.805
SnakeBrain,0.580,820.334,17.971,4821,-0.802
SnakeBrain,0.520,842.707,17.207,4874,-0.800
SnakeBrain,0.515,860.751,13.684,4826,-0.799
SnakeBrain,0.521,885.734,19.697,4814,-0.797
SnakeBrain,0.507,906.611,16.051,4813,-0.795
SnakeBrain,0.549,924.365,13.633,4909,-0.792
SnakeBrain,0.531,942.734,13.958,4850,-0.790
SnakeBrain,1.399,962.498,14.303,4892,-0.789
SnakeBrain,0.532,981.411,14.359,4824,-0.786
SnakeBrain,0.679,999.643,13.720,4928,-0.786
SnakeBrain,0.617,1018.134,14.009,4881,-0.783
SnakeBrain,0.517,1036.266,13.820,4888,-0.782
SnakeBrain,0.520,1053.707,13.234,4905,-0.781
SnakeBrain,0.519,1071.522,13.481,4840,-0.780
SnakeBrain,0.527,1089.354,13.553,4872,-0.779
SnakeBrain,0.517,1106.655,13.290,4843,-0.777
SnakeBrain,0.600,1124.091,13.127,4802,-0.774
SnakeBrain,0.644,1142.631,14.227,4818,-0.772
SnakeBrain,1.077,1162.630,14.708,4813,-0.770
SnakeBrain,0.711,1183.921,15.995,4854,-0.768
SnakeBrain,0.685,1205.055,16.052,4805,-0.768
SnakeBrain,0.766,1225.575,15.456,4926,-0.766
