Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SnakeBrain,1.861,51.881,40.767,4818,-0.924
SnakeBrain,0.508,97.470,37.436,4824,-0.920
SnakeBrain,0.523,141.239,35.638,4819,-0.912
SnakeBrain,0.530,186.010,36.606,4859,-0.904
SnakeBrain,0.506,229.659,35.623,4811,-0.900
SnakeBrain,0.507,272.995,35.318,4846,-0.897
SnakeBrain,0.541,316.647,35.718,4851,-0.894
SnakeBrain,0.515,361.209,36.305,4855,-0.888
SnakeBrain,0.503,403.531,34.459,4806,-0.882
SnakeBrain,0.551,447.078,35.450,4828,-0.877
SnakeBrain,0.530,491.654,36.105,4817,-0.870
SnakeBrain,0.505,534.689,35.121,4847,-0.863
SnakeBrain,0.515,577.967,35.519,4820,-0.855
SnakeBrain,0.522,627.164,40.925,4860,-0.845
SnakeBrain,0.518,669.135,34.384,4806,-0.837
SnakeBrain,0.580,712.396,35.565,4806,-0.828
SnakeBrain,0.565,756.602,36.384,4839,-0.817
SnakeBrain,0.515,798.623,34.817,4844,-0.809
SnakeBrain,0.515,845.654,38.815,4815,-0.798
SnakeBrain,0.537,888.767,35.766,4806,-0.789
SnakeBrain,0.547,931.424,34.882,4812,-0.781
SnakeBrain,0.522,975.048,35.857,4845,-0.771
SnakeBrain,0.503,1018.759,36.239,4806,-0.763
SnakeBrain,0.508,1060.578,34.578,4814,-0.755
SnakeBrain,0.499,1104.315,36.050,4857,-0.746
SnakeBrain,0.527,1148.175,36.250,4858,-0.738
SnakeBrain,0.521,1190.607,35.116,4810,-0.731
SnakeBrain,0.526,1235.686,37.145,4816,-0.722
SnakeBrain,0.511,1280.091,36.673,4830,-0.714
SnakeBrain,0.507,1323.429,35.871,4824,-0.707
SnakeBrain,0.537,1368.471,36.736,4838,-0.698
SnakeBrain,0.505,1413.739,37.821,4864,-0.691
SnakeBrain,0.514,1458.039,37.001,4859,-0.684
SnakeBrain,0.501,1501.240,35.835,4817,-0.678
SnakeBrain,0.508,1549.664,39.877,4859,-0.673
SnakeBrain,0.639,1593.766,36.170,4854,-0.665
SnakeBrain,0.531,1640.444,38.809,4820,-0.658
SnakeBrain,0.568,1689.968,41.269,4840,-0.650
SnakeBrain,0.546,1740.536,42.537,4820,-0.641
SnakeBrain,0.526,1785.198,37.009,4803,-0.634
SnakeBrain,0.561,1833.353,39.982,4842,-0.626
SnakeBrain,0.698,1882.982,40.706,4838,-0.618
SnakeBrain,0.856,1934.918,42.841,4851,-0.609
SnakeBrain,0.892,1988.853,44.966,4809,-0.601
SnakeBrain,0.932,2052.484,52.668,4857,-0.593
SnakeBrain,0.764,2114.297,51.466,4847,-0.585
SnakeBrain,0.807,2174.982,50.492,4832,-0.577
SnakeBrain,0.778,2238.093,52.759,4809,-0.568
SnakeBrain,0.844,2300.493,52.051,4846,-0.558
SnakeBrain,0.818,2363.309,52.347,4825,-0.549
SnakeBrain,0.811,2427.730,53.835,4850,-0.541
SnakeBrain,0.751,2488.819,50.475,4816,-0.532
