Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
SnakeBrain,2.528,32.760,23.349,4851,-0.993
SnakeBrain,0.483,54.068,16.484,4819,-0.993
SnakeBrain,0.662,76.200,16.839,4844,-0.995
SnakeBrain,0.607,95.523,14.670,4807,-0.996
SnakeBrain,0.746,115.533,15.038,4818,-0.997
SnakeBrain,0.663,135.198,14.789,4814,-0.997
SnakeBrain,0.580,154.867,14.907,4830,-0.996
SnakeBrain,0.588,174.176,14.716,4801,-0.996
SnakeBrain,0.599,193.525,14.682,4821,-0.997
SnakeBrain,0.569,212.991,14.717,4804,-0.997
SnakeBrain,0.577,232.413,14.592,4830,-0.996
SnakeBrain,0.597,251.868,14.695,4828,-0.996
SnakeBrain,0.574,270.897,14.281,4855,-0.996
SnakeBrain,0.605,289.585,13.941,4815,-0.995
SnakeBrain,0.693,308.436,14.136,4802,-0.994
SnakeBrain,0.610,328.228,14.848,4835,-0.993
SnakeBrain,0.638,347.290,14.251,4821,-0.989
SnakeBrain,0.602,366.291,14.220,4829,-0.986
SnakeBrain,0.660,385.976,14.822,4858,-0.985
SnakeBrain,0.592,405.340,14.460,4862,-0.985
SnakeBrain,0.972,424.780,14.071,4830,-0.981
SnakeBrain,0.704,443.811,14.249,4854,-0.977
SnakeBrain,0.725,462.485,14.041,4811,-0.974
SnakeBrain,0.591,481.285,13.969,4831,-0.970
SnakeBrain,0.583,499.145,13.344,4862,-0.965
SnakeBrain,0.583,518.371,14.479,4837,-0.960
SnakeBrain,0.569,538.001,14.627,4837,-0.958
SnakeBrain,0.656,555.862,13.329,4816,-0.955
SnakeBrain,0.744,574.349,13.774,4861,-0.951
SnakeBrain,0.783,592.981,13.831,4842,-0.947
SnakeBrain,0.592,611.527,13.983,4832,-0.945
SnakeBrain,0.629,629.639,13.590,4816,-0.941
SnakeBrain,0.599,648.288,14.076,4842,-0.936
SnakeBrain,0.576,666.950,14.074,4838,-0.931
SnakeBrain,0.569,684.619,13.299,4802,-0.924
SnakeBrain,0.573,702.667,13.473,4849,-0.918
SnakeBrain,0.604,721.392,14.117,4865,-0.912
SnakeBrain,0.678,740.059,13.968,4861,-0.906
SnakeBrain,0.589,757.751,13.299,4865,-0.900
SnakeBrain,0.599,776.905,14.514,4849,-0.901
SnakeBrain,0.592,796.445,14.317,4850,-0.902
SnakeBrain,0.945,816.092,14.668,4826,-0.899
SnakeBrain,0.861,837.019,15.619,4810,-0.894
SnakeBrain,0.778,857.454,15.412,4865,-0.889
SnakeBrain,0.761,878.697,16.055,4809,-0.883
SnakeBrain,1.068,902.332,17.936,4865,-0.878
SnakeBrain,1.076,925.262,17.265,4865,-0.872
SnakeBrain,0.891,949.770,17.946,4801,-0.867
SnakeBrain,0.911,972.428,16.987,4865,-0.861
SnakeBrain,0.894,995.816,17.620,4807,-0.857
SnakeBrain,0.894,1018.638,17.095,4865,-0.852
SnakeBrain,0.638,1043.747,19.897,4810,-0.846
SnakeBrain,0.816,1065.555,16.476,4865,-0.841
SnakeBrain,0.788,1088.315,17.236,4865,-0.836
